SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
scbtan2,Heterospingus xanthopygius,Scarlet-browed Tanager,"Tanager, Scarlet-browed",EBIRD,2017.02,28771,,scbtan2,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010744
fabtan1,Pipraeidea melanonota,Fawn-breasted Tanager,"Tanager, Fawn-breasted",EBIRD,2017.02,28421.77,,fabtan1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010809
eurcoo,Fulica atra,Eurasian Coot,"Coot, Eurasian",EBIRD,2017.02,3609,,eurcoo,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",0,,TC001819
cubgra,Tiaris canorus,Cuban Grassquit,"Grassquit, Cuban",EBIRD,2017.02,29231,,cubgra,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011012
eurcur,Numenius arquata,Eurasian Curlew,"Curlew, Eurasian",EBIRD,2017.02,4007.5,,eurcur,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002026
eurdot,Charadrius morinellus,Eurasian Dotterel,"Dotterel, Eurasian",EBIRD,2017.02,3926,,eurdot,species,Charadriiformes,Charadriidae (Plovers and Lapwings),0,,TC001940
eurgol,Carduelis carduelis,European Goldfinch,"Goldfinch, European",EBIRD,2017.02,31018.8,,eurgol,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011758
eurhob,Falco subbuteo,Eurasian Hobby,"Hobby, Eurasian",EBIRD,2017.02,11582.26,,eurhob,species,Falconiformes,Falconidae (Falcons and Caracaras),0,,TC001583
venflo1,Diglossa venezuelensis,Venezuelan Flowerpiercer,"Flowerpiercer, Venezuelan",EBIRD,2017.02,28852,,venflo1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011053
rcbfin1,Atlapetes pileatus,Rufous-capped Brushfinch,"Brushfinch, Rufous-capped",EBIRD,2017.02,29984.87,,rcbfin1,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011145
eurwry,Jynx torquilla,Eurasian Wryneck,"Wryneck, Eurasian",EBIRD,2017.02,10765,,eurwry,species,Piciformes,Picidae (Woodpeckers),0,,TC004825
evegro,Coccothraustes vespertinus,Evening Grosbeak,"Grosbeak, Evening",EBIRD,2017.02,30797.2,,evegro,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011828
spotow1,Pipilo maculatus [oregonus Group],Spotted Towhee (oregonus Group),"Towhee, Spotted (oregonus Group)",EBIRD,2017.02,29984.7,spotow,spotow,issf,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011170
zapspa1,Torreornis inexpectata,Zapata Sparrow,"Sparrow, Zapata",EBIRD,2017.02,29984.54,,zapspa1,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011208
falcon,Falco sp.,falcon sp.,falcon sp.,EBIRD,2017.02,11582.88,,falcon,spuh,Falconiformes,Falconidae (Falcons and Caracaras),0,,TC001611
vinbun1,Emberiza vincenti,Vincent's Bunting,"Bunting, Vincent's",EBIRD,2017.02,30064,,vinbun1,species,Passeriformes,Emberizidae (Old World Buntings),0,,TC011349
fepowl,Glaucidium brasilianum,Ferruginous Pygmy-Owl,"Owl, Ferruginous Pygmy-",EBIRD,2017.02,7375,,fepowl,species,Strigiformes,Strigidae (Owls),0,,TC003530
flaowl,Psiloscops flammeolus,Flammulated Owl,"Owl, Flammulated",EBIRD,2017.02,7149.5,,flaowl,species,Strigiformes,Strigidae (Owls),0,,TC003419
flfshe,Ardenna carneipes,Flesh-footed Shearwater,"Shearwater, Flesh-footed",EBIRD,2017.02,1811,,flfshe,species,Procellariiformes,Procellariidae (Shearwaters and Petrels),0,,TC000851
spceup1,Euphonia imitans,Spot-crowned Euphonia,"Euphonia, Spot-crowned",EBIRD,2017.02,30772,,spceup1,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011635
forter,Sterna forsteri,Forster's Tern,"Tern, Forster's",EBIRD,2017.02,4508,,forter,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002313
foxspa,Passerella iliaca,Fox Sparrow,"Sparrow, Fox",EBIRD,2017.02,29840,,foxspa,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011262
